File Name,SAMPLE_KEY
24277-E07-2.npz,24277-E07
24300-J15-1.npz,24300-J15
24297-M04-5.npz,24297-M04
24279-I15-6.npz,24279-I15
24297-F19-4.npz,24297-F19
24300-M22-4.npz,24300-M22
24294-G21-3.npz,24294-G21
24300-O16-1.npz,24300-O16
24279-K21-3.npz,24279-K21
24300-H21-4.npz,24300-H21
24277-P22-1.npz,24277-P22
24277-K19-3.npz,24277-K19
24297-C23-2.npz,24297-C23
24294-G18-5.npz,24294-G18
24279-K18-5.npz,24279-K18
24277-K20-5.npz,24277-K20
24294-P09-3.npz,24294-P09
24277-J02-2.npz,24277-J02
24277-N23-5.npz,24277-N23
24277-B09-1.npz,24277-B09
24277-O01-2.npz,24277-O01
24279-D24-3.npz,24279-D24
24279-C13-6.npz,24279-C13
24279-E06-4.npz,24279-E06
24297-J01-2.npz,24297-J01
24300-K05-4.npz,24300-K05
24279-C18-2.npz,24279-C18
24279-H05-3.npz,24279-H05
24294-B10-1.npz,24294-B10
24277-B02-5.npz,24277-B02
24277-G01-5.npz,24277-G01
24277-F23-2.npz,24277-F23
24277-P10-3.npz,24277-P10
24279-M06-3.npz,24279-M06
24300-N06-4.npz,24300-N06
24279-K13-1.npz,24279-K13
24297-N20-5.npz,24297-N20
24294-A06-3.npz,24294-A06
24277-M07-5.npz,24277-M07
24279-F22-4.npz,24279-F22
24279-A15-1.npz,24279-A15
24297-N19-3.npz,24297-N19
24300-B15-6.npz,24300-B15
24294-H16-1.npz,24294-H16
24294-N03-3.npz,24294-N03
24279-C21-4.npz,24279-C21
24300-G16-6.npz,24300-G16
24279-B03-3.npz,24279-B03
24297-P21-1.npz,24297-P21
24278-P24-4.npz,24278-P24
24280-A21-3.npz,24280-A21
24295-J17-5.npz,24295-J17
24296-C24-1.npz,24296-C24
24302-M06-1.npz,24302-M06
24296-D13-4.npz,24296-D13
24295-D09-4.npz,24295-D09
24295-O14-5.npz,24295-O14
24293-B18-3.npz,24293-B18
24296-G05-6.npz,24296-G05
24278-H09-4.npz,24278-H09
24278-C14-5.npz,24278-C14
24296-A10-4.npz,24296-A10
24280-D22-3.npz,24280-D22
24293-B21-5.npz,24293-B21
24278-I12-5.npz,24278-I12
24296-M03-6.npz,24296-M03
24293-C03-2.npz,24293-C03
24296-L21-1.npz,24296-L21
24280-I13-6.npz,24280-I13
24280-A18-5.npz,24280-A18
24280-L10-6.npz,24280-L10
24278-L11-5.npz,24278-L11
24301-B19-1.npz,24301-B19
24296-N15-4.npz,24296-N15
24278-A19-6.npz,24278-A19
24302-A15-3.npz,24302-A15
24280-P17-5.npz,24280-P17
24296-D21-6.npz,24296-D21
24293-K03-5.npz,24293-K03
24295-M12-2.npz,24295-M12
24302-K21-1.npz,24302-K21
24301-B12-5.npz,24301-B12
24280-F24-4.npz,24280-F24
24278-P16-6.npz,24278-P16
24280-B05-3.npz,24280-B05
24280-I18-2.npz,24280-I18
24295-H11-2.npz,24295-H11
24296-A22-6.npz,24296-A22
24301-G11-5.npz,24301-G11
24296-F15-3.npz,24296-F15
24296-M08-2.npz,24296-M08
24301-J19-6.npz,24301-J19
24280-N16-1.npz,24280-N16
24278-N17-2.npz,24278-N17
24293-E24-2.npz,24293-E24
24296-L13-3.npz,24296-L13
24301-M17-5.npz,24301-M17
24302-E06-6.npz,24302-E06
24301-H14-5.npz,24301-H14
24301-C09-4.npz,24301-C09
24296-I10-3.npz,24296-I10
24296-O05-1.npz,24296-O05
24295-L09-3.npz,24295-L09
24295-G14-2.npz,24295-G14
24293-J18-4.npz,24293-J18
24280-L22-4.npz,24280-L22
24295-P05-4.npz,24295-P05
24293-P01-1.npz,24293-P01
24293-O08-1.npz,24293-O08
24295-I19-6.npz,24295-I19
24296-M22-1.npz,24296-M22
24302-E15-3.npz,24302-E15
24302-N08-2.npz,24302-N08
24293-C22-5.npz,24293-C22
24278-H11-5.npz,24278-H11
24301-K11-2.npz,24301-K11
24302-B22-6.npz,24302-B22
24296-A08-5.npz,24296-A08
24278-E19-6.npz,24278-E19
24296-J15-4.npz,24296-J15
24296-H21-1.npz,24296-H21
24296-O16-4.npz,24296-O16
24296-I03-6.npz,24296-I03
24278-M12-5.npz,24278-M12
24280-K06-4.npz,24280-K06
24280-J24-3.npz,24280-J24
24278-G14-5.npz,24278-G14
24278-L09-4.npz,24278-L09
24296-C05-6.npz,24296-C05
24302-L05-1.npz,24302-L05
24295-K14-5.npz,24295-K14
24278-P05-3.npz,24278-P05
24280-G15-6.npz,24280-G15
24280-E21-3.npz,24280-E21
24280-B16-6.npz,24280-B16
24280-D03-4.npz,24280-D03
24302-H24-6.npz,24302-H24
24293-I24-5.npz,24293-I24
24296-G24-1.npz,24296-G24
24293-H06-2.npz,24293-H06
24293-E05-5.npz,24293-E05
24293-N18-4.npz,24293-N18
24295-H09-3.npz,24295-H09
24302-D05-6.npz,24302-D05
